Battle_title,Battle_url,Sup_1_Character,Sup_1_Name,Sup_1_Universe,Sup_2_Character,Sup_2_Name,Sup_2_Universe,Superhero_1_win,Superhero_2_win,Draw
T-1000 vs Yoda,https://www.superherodb.com/90-83218/,T-1000,Cyberdyne Systems Series 1000 Terminator,Terminator,Yoda,Yoda,Star Wars,0.0,100.0,0.0
Magneto vs Miss Martian,https://www.superherodb.com/90-83057/,Magneto,Max Eisenhardt,Earth-616,Miss Martian,M'gann M'orzz,Prime Earth,33.3,66.7,0.0
Iceman vs King Kong,https://www.superherodb.com/90-82790/,Iceman,Bobby Drake,Earth-616,King Kong,King Kong,,33.3,66.7,0.0
Jean-Luc Picard vs Kathryn Janeway,https://www.superherodb.com/90-82576/,Jean-Luc Picard,Jean-Luc Picard,Star Trek,Kathryn Janeway,Kathryn Janeway,Star Trek,0.0,100.0,0.0
James T. Kirk vs Spock,https://www.superherodb.com/90-82543/,James T. Kirk,James T. Kirk,Star Trek,Spock,S'chn T'gai Spock,Star Trek,0.0,100.0,0.0
Nick Fury vs James T. Kirk,https://www.superherodb.com/90-82539/,Nick Fury,Nicholas Joseph Fury,Earth-616,James T. Kirk,James T. Kirk,Star Trek,0.0,0.0,100.0
Hellboy vs Loki,https://www.superherodb.com/90-80342/,Hellboy,Anung Un Rama,Hellboy,Loki,Loki Laufeyson,Earth-616,20.0,80.0,0.0
Luke Cage vs Toxin,https://www.superherodb.com/90-79784/,Luke Cage,Luke Cage,Earth-616,Toxin,Eddie Brock,Earth-616,0.0,100.0,0.0
Black Widow vs T-850,https://www.superherodb.com/90-79578/,Black Widow,Natasha Romanoff,Earth-616,T-850,Cyberdyne Systems Series 850 Terminator,Terminator,50.0,0.0,50.0
Psylocke vs Havok,https://www.superherodb.com/90-79462/,Psylocke,Elizabeth Braddock,Earth-616,Havok,Alexander Summers,Earth-616,100.0,0.0,0.0
Lex Luthor vs Blue Beetle,https://www.superherodb.com/90-77571/,Lex Luthor,Lex Luthor,Prime Earth,Blue Beetle,Jaime Reyes,Prime Earth,75.0,25.0,0.0
Lizard vs Harley Quinn,https://www.superherodb.com/90-76388/,Lizard,Curtis Connors,Earth-616,Harley Quinn,Harleen Quinzel,Prime Earth,50.0,50.0,0.0
