Battle_title,Battle_url,Sup_1_Character,Sup_1_Name,Sup_1_Universe,Sup_2_Character,Sup_2_Name,Sup_2_Universe,Superhero_1_win,Superhero_2_win,Draw
Ultron vs Thing,https://www.superherodb.com/90-549372/,Ultron,Ultron,Earth-616,Thing,Ben Grimm,Earth-616,66.7,33.3,0.0
Absorbing Man vs Venom,https://www.superherodb.com/90-24072/,Absorbing Man,Carl Creel,Earth-616,Venom,Eddie Brock,Earth-616,100.0,0.0,0.0
Iceman vs Absorbing Man,https://www.superherodb.com/90-36066/,Iceman,Bobby Drake,Earth-616,Absorbing Man,Carl Creel,Earth-616,33.3,66.7,0.0
Human Torch vs Sandman,https://www.superherodb.com/90-36063/,Human Torch,Johnny Storm,Earth-616,Sandman,William Baker,Earth-616,79.2,20.8,0.0
Nightcrawler vs Angel,https://www.superherodb.com/90-36045/,Nightcrawler,Kurt Wagner,Earth-616,Angel,Warren Worthington III,Earth-616,75.0,0.0,25.0
Doctor Strange (Classic) vs Scarlet Witch,https://www.superherodb.com/90-1136/,Doctor Strange (Classic),Stephen Strange,Earth-616,Scarlet Witch,Wanda Maximoff,Earth-616,81.0,18.3,0.7000000000000028
Iron Man vs Captain America,https://www.superherodb.com/90-101/,Iron Man,Tony Stark,Earth-616,Captain America,Steve Rogers,Earth-616,79.3,20.1,0.5999999999999943
Human Torch vs Luke Cage,https://www.superherodb.com/90-74992/,Human Torch,Johnny Storm,Earth-616,Luke Cage,Luke Cage,Earth-616,100.0,0.0,0.0
Hulk vs Bi-Beast,https://www.superherodb.com/90-186382/,Hulk,Bruce Banner,Earth-616,Bi-Beast,NA,Earth-616,91.7,8.3,0.0
Thanos vs Thing,https://www.superherodb.com/90-337705/,Thanos,Thanos,Earth-616,Thing,Ben Grimm,Earth-616,83.3,16.7,0.0
Electro vs Doctor Strange (Classic),https://www.superherodb.com/90-402298/,Electro,Maxwell Dillon,Earth-616,Doctor Strange (Classic),Stephen Strange,Earth-616,0.0,100.0,0.0
Destroyer vs Thing,https://www.superherodb.com/90-402291/,Destroyer,NA,Earth-616,Thing,Ben Grimm,Earth-616,100.0,0.0,0.0
Destroyer vs Ultimo,https://www.superherodb.com/90-402290/,Destroyer,NA,Earth-616,Ultimo,Doomsday Device,Earth-616,100.0,0.0,0.0
Captain Britain vs Red Guardian,https://www.superherodb.com/90-518484/,Captain Britain,Brian Braddock,Earth-616,Red Guardian,Alexi Shostakov,Earth-616,100.0,0.0,0.0
She-Venom vs Scream,https://www.superherodb.com/90-532836/,She-Venom,Anne Weying,Earth-616,Scream,Donna Diego,Earth-616,0.0,100.0,0.0
Carnage vs Venompool,https://www.superherodb.com/90-83258/,Carnage,Cletus Kasady,Earth-616,Venompool,Wade Wilson,Earth-616,8.1,89.2,2.700000000000003
Doc Samson vs Birdy,https://www.superherodb.com/90-883057-13347/,Doc Samson,Leonard Samson,Earth-616,Birdy,NA,Earth-616,0.0,100.0,0.0
Spider-Man (Phoenix Force) vs Queen Goblin,https://www.superherodb.com/90-787980-12149/,Spider-Man (Phoenix Force),Peter Parker,Earth-616,Queen Goblin,Ashley Kafka,Earth-616,100.0,0.0,0.0
Green Goblin vs Spider-Man (Phoenix Force),https://www.superherodb.com/90-787979-12148/,Green Goblin,Norman Osborn,Earth-616,Spider-Man (Phoenix Force),Peter Parker,Earth-616,0.0,100.0,0.0
Phoenix vs Psylocke,https://www.superherodb.com/90-685169-8115/,Phoenix,Jean Grey,Earth-616,Psylocke,Kwannon,Earth-616,100.0,0.0,0.0
Doc Samson vs Doc Sasquatch,https://www.superherodb.com/90-548113/,Doc Samson,Leonard Samson,Earth-616,Doc Sasquatch,Leonard Samson,Earth-616,0.0,100.0,0.0
Immortal Hulk vs Red Harpy,https://www.superherodb.com/90-547635/,Immortal Hulk,Bruce Banner,Earth-616,Red Harpy,Betty Ross,Earth-616,100.0,0.0,0.0
Hulk vs Red Harpy,https://www.superherodb.com/90-547634/,Hulk,Bruce Banner,Earth-616,Red Harpy,Betty Ross,Earth-616,100.0,0.0,0.0
Mephisto vs Zom,https://www.superherodb.com/90-546775/,Mephisto,NA,Earth-616,Zom,Zom,Earth-616,0.0,100.0,0.0
Godkiller Armor vs Iron Man (Celestial Hulkbuster),https://www.superherodb.com/90-817832/,Godkiller Armor,NA,Earth-616,Iron Man (Celestial Hulkbuster),Tony Stark,Earth-616,0.0,100.0,0.0
Void vs Demogorge (The God Eater),https://www.superherodb.com/90-768728/,Void,Robert Reynolds,Earth-616,Demogorge (The God Eater),Atum,Earth-616,0.0,100.0,0.0
Destroyer Thor vs Titan,https://www.superherodb.com/90-766213/,Destroyer Thor,Thor Odinson,Earth-616,Titan,Hulk,Earth-616,0.0,100.0,0.0
